"Global_Index", "x_coord", "y_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
116, 2.924752344581762e-01, -4.622950094466479e-02, 1.731777018872835e+05, 4.052177329655408e-02, 2.464798549502933e+00
117, 2.874874822388038e-01, -4.617877401782600e-02, 1.744783722690507e+05, 4.125529436060803e-02, 2.460081282894313e+00
118, 2.824997749389398e-01, -4.612381616122994e-02, 1.757717624421543e+05, 4.198470970619537e-02, 2.455386812831963e+00
119, 2.775121267623833e-01, -4.606373430226626e-02, 1.771475673125066e+05, 4.276060332734501e-02, 2.450374364376195e+00
120, 2.725245548455906e-01, -4.599763553104678e-02, 1.786857017342281e+05, 4.362804369770718e-02, 2.444920832781242e+00
121, 2.675370793596730e-01, -4.592462714904256e-02, 1.805059627128521e+05, 4.465459107559248e-02, 2.438905880014366e+00
122, 2.625497242877718e-01, -4.584381673811929e-02, 1.825492932377740e+05, 4.580693989652760e-02, 2.432363809255468e+00
123, 2.575625177687810e-01, -4.575431223808262e-02, 1.848142470436419e+05, 4.708427453026929e-02, 2.424823986409961e+00
124, 2.525754926712609e-01, -4.565522204341150e-02, 1.870306528059175e+05, 4.833423019613970e-02, 2.417783574958122e+00
125, 2.475886737420168e-01, -4.554624186649141e-02, 1.890692490397813e+05, 4.948390908450536e-02, 2.411106444975109e+00
126, 2.426020102526502e-01, -4.543035268020576e-02, 1.909789675059164e+05, 5.056090656285161e-02, 2.404943451577742e+00
127, 2.376155106731574e-01, -4.530761658315702e-02, 1.930178317394171e+05, 5.171073659126126e-02, 2.398532291028629e+00
128, 2.326291999138876e-01, -4.517743979720184e-02, 1.952192654612937e+05, 5.295224868283457e-02, 2.391941389218831e+00
129, 2.276431052874331e-01, -4.503922889677698e-02, 1.976907739474170e+05, 5.434607109931523e-02, 2.384509085382787e+00
130, 2.226572574775116e-01, -4.489239088952564e-02, 2.002574041539284e+05, 5.579353799523651e-02, 2.376611818777505e+00
131, 2.176716898243650e-01, -4.473633325799525e-02, 2.028409090970435e+05, 5.725052150268570e-02, 2.368727011265219e+00
132, 2.126864390465014e-01, -4.457046404790912e-02, 2.055998540102205e+05, 5.880644546062980e-02, 2.360099545413735e+00
133, 2.077015453523720e-01, -4.439419194824096e-02, 2.088286448100930e+05, 6.062734189705996e-02, 2.350460295402693e+00
134, 2.027170526332803e-01, -4.420692638196950e-02, 2.124999976132819e+05, 6.269782389808294e-02, 2.339923569714827e+00
135, 1.977330132082165e-01, -4.400798602977622e-02, 2.164992314196285e+05, 6.495321640809473e-02, 2.328530652319559e+00
136, 1.927494678330347e-01, -4.379700382233219e-02, 2.203538690755492e+05, 6.712706302945919e-02, 2.318162106313312e+00
137, 1.877663868017188e-01, -4.357531556909276e-02, 2.239939874800578e+05, 6.917993019917965e-02, 2.308943857532468e+00
138, 1.827837430262329e-01, -4.334400456474897e-02, 2.274494158958428e+05, 7.112864031347096e-02, 2.300274623749547e+00
139, 1.778015214846454e-01, -4.310377066774437e-02, 2.305978338402139e+05, 7.290420998355444e-02, 2.292463282717387e+00
140, 1.728197185951806e-01, -4.285500422585981e-02, 2.332984276721621e+05, 7.442722649023983e-02, 2.285541882642294e+00
141, 1.678383436391291e-01, -4.259781116818320e-02, 2.355672868408120e+05, 7.570676357734982e-02, 2.279796871748999e+00
142, 1.628574213929343e-01, -4.233199320974013e-02, 2.378531037295932e+05, 7.699586407505872e-02, 2.274052691474381e+00
143, 1.578769991901245e-01, -4.205696923906607e-02, 2.408553299368476e+05, 7.868898801556384e-02, 2.265922543137251e+00
